case,expert_ranking,proxy,student_index,spearman,kendall,n_items
strict,2-4-7-6,readTime,5,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,readTime,6,0.8999999999999999,0.8333333333333335,4
strict,2-4-7-6,log_readTime,0,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,log_readTime,1,0.19999999999999998,0.0,4
strict,2-4-7-6,log_readTime,2,1.0,1.0,4
strict,2-4-7-6,log_readTime,3,-0.19999999999999998,0.0,4
strict,2-4-7-6,log_readTime,4,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,log_readTime,5,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,log_readTime,6,0.8999999999999999,0.8333333333333335,4
strict,2-4-7-6,time_function,0,0.0,0.0,4
strict,2-4-7-6,time_function,1,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,time_function,2,-0.19999999999999998,0.0,4
strict,2-4-7-6,time_function,3,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,time_function,4,-0.39999999999999997,-0.3333333333333334,4
strict,2-4-7-6,time_function,5,0.7999999999999999,0.6666666666666669,4
strict,2-4-7-6,time_function,6,0.7999999999999999,0.6666666666666669,4
strict,2-4-7-6,time_output,0,0.6000000000000001,0.3333333333333334,4
strict,2-4-7-6,time_output,1,0.8999999999999999,0.8333333333333335,4
strict,2-4-7-6,time_output,2,0.7999999999999999,0.6666666666666669,4
strict,2-4-7-6,time_output,3,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,time_output,4,0.09999999999999999,0.1666666666666667,4
strict,2-4-7-6,time_output,5,0.7999999999999999,0.6666666666666669,4
strict,2-4-7-6,time_output,6,1.0,1.0,4
strict,2-4-7-6,time_syntaxBL,0,-0.6,-0.5000000000000001,4
strict,2-4-7-6,time_syntaxBL,1,0.0,0.0,4
strict,2-4-7-6,time_syntaxBL,2,-0.7999999999999999,-0.6666666666666669,4
strict,2-4-7-6,time_syntaxBL,3,-0.7999999999999999,-0.6666666666666669,4
strict,2-4-7-6,time_syntaxBL,4,-0.8999999999999999,-0.8333333333333335,4
strict,2-4-7-6,time_syntaxBL,5,0.19999999999999998,0.1666666666666667,4
strict,2-4-7-6,time_syntaxBL,6,-0.39999999999999997,-0.3333333333333334,4
strict,2-4-7-6,time_scaleSM,0,-0.30000000000000004,-0.1666666666666667,4
strict,2-4-7-6,time_scaleSM,1,-0.3,-0.1666666666666667,4
strict,2-4-7-6,time_scaleSM,2,0.7999999999999999,0.6666666666666669,4
strict,2-4-7-6,time_scaleSM,3,-0.7999999999999999,-0.6666666666666669,4
strict,2-4-7-6,time_scaleSM,4,0.6,0.5000000000000001,4
strict,2-4-7-6,time_scaleSM,5,0.3,0.1666666666666667,4
strict,2-4-7-6,time_scaleSM,6,0.3,0.1666666666666667,4
strict,2-4-7-6,time_scaleST,0,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,time_scaleST,1,0.3,0.1666666666666667,4
strict,2-4-7-6,time_scaleST,2,0.19999999999999998,0.0,4
strict,2-4-7-6,time_scaleST,3,0.3,0.1666666666666667,4
strict,2-4-7-6,time_scaleST,4,0.7999999999999999,0.6666666666666669,4
strict,2-4-7-6,time_scaleST,5,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,time_scaleST,6,0.09999999999999999,0.1666666666666667,4
strict,2-4-7-6,log_time_function,0,0.0,0.0,4
strict,2-4-7-6,log_time_function,1,0.39999999999999997,0.3333333333333334,4
strict,2-4-7-6,log_time_function,2,-0.19999999999999998,0.0,4
strict,2-4-7-6,log_time_function,3,0.39999999999999997,0.3333333333333334,4
